cd_nom;nom_cite;sources;nb;plus_recente_diffusion;cd_nom_remplacement;cd_raison_suppression
211008;Shargacucullia  sp.,Shargacucullia sp;CEN PACA,GRENHA;2;;;
194230;Liza jordan & swain, 1884;Conservatoire du littoral;3;;;
342470;Megacraspedus imparellus;Tour du Valat;1;9.0;;2
116744;Quercus petraea,Quercus petraea ?,Quercus petraea Liebl.,Quercus petraea Liebl., 1784,Quercus petraea Lieblein,Quercus petraea (Mattuschka) Liebl.,Quercus petraea (Mattuschka)Liebl.,Quercus petraea (Mattuschka) Liebl. (=Q. sessiliflora Salisb,Quercus petraea (Mattus.) Liebl.,Quercus sessiliflora Sal.,Quercus sessiliflora Salisb.;SI CBN;332;9.0;521658;1
104306;Juncus ambiguus,Juncus ambiguus Guss.,Juncus bufonius L. subsp. ranarius (Perr. & Song.) Hiitonen,Juncus ranarius,Juncus ranarius Perr. et Song.,Juncus ranarius Songeon & Perrier,Juncus ranarius Songeon & Perrier, 1860,Juncus ranarius Song. & Perr.;SI CBN;24;9.0;771713;1
