i_cd_ref;i_array_agg;i_count;f_cd_ref;f_array_agg;f_count;att_list;att_nb;media_nb;grappe_change;action;cas
111;{111};1;965096;{111};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
204;{204};1;964271;{204};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
92;{92};1;92;{92,100};2;;;12;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
100;{100};1;92;{92,100};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
2078;{2078};1;2079;{2078,2079};2;;;;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
2079;{2079};1;2079;{2078,2079};2;;;1;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
3931;{3931,435854};2;435854;{3931,435854};2;;;2;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
3945;{3945};1;961306;{3945};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
4397;{4397};1;4397;{4397,4398,4399};3;;;2;cas3: f_cd_ref;Merge attributes if exists;merge
4398;{4398};1;4397;{4397,4398,4399};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
4399;{4399};1;4397;{4397,4398,4399};3;;;;cas3: f_cd_ref;Merge attributes if exists;merge
4400;{4400};1;4400;{4400,434561};2;;;4;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5013;{5013};1;839011;{5013};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5014;{5014};1;839012;{5014};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5025;{5025};1;963550;{5025};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5037;{5037};1;839014;{5037};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5041;{5041};1;839016;{5041};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5045;{5045};1;839017;{5045};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5065;{5065};1;435952;{5065};1;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5253;{5253,435796};2;435796;{5253,435796};2;;;;cas1;Update cd_ref no changes for attributes and medium;update cd_ref
5167;{5167};1;5167;{5167,434669,434670};3;;;2;cas3: f_cd_ref;Merge attributes if exists;merge
5072;{5072};1;5072;{5072,434611};2;;;3;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
5322;{5322};1;5322;{5322,434566};2;;;5;cas3: 2 grappes, cas3: f_cd_ref;Merge attributes if exists;merge
