regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Fungi,Ascomycètes,Lichens,1015119,[1015119],"Aspicilia reagens (Zahlbr.) Cl.Roux & M.Bertrand, 2016",1,1049673,[1015119],"Circinaria reagens (Zahlbr.) A.Nordin, 2016",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,122840,[122840],"Serapias x ambigua Rouy, 1891",1,1053880,[122840],"Serapias x ambigua Rouy ex E.G.Camus, 1892",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59319,[59319],"Fulgensia desertorum (Tomin) Poelt, 1965",1,1042523,[59319],"Gyalolechia desertorum (Tomin) Søchting, Frödén & Arup, 2013",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660114,[660114],"Caloplaca haematites (Chaub. ex St.-Amans) Zwackh, 1862",1,1044021,[660114],"Sanguineodiscus haematites (Chaub.ex St.-Amans) I.V.Frolov & Vondrák, 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,658760,[658760],"Strigula brevis Bricaud & Cl.Roux, 2004",1,1042385,[658760],"Dichoporis brevis (Bricaud & Cl.Roux) S.H.Jiang, Lücking & Sérus., 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,717708,[717708],"Yucca elephantipes Regel ex Trel., 1902",1,637388,[717708],"Yucca guatemalensis Baker, 1871",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,57815,[57815],"Cladonia symphycarpia (Ach.) Fr., 1826",1,57813,[57815],"Cladonia symphycarpa (Flörke) Fr., 1826",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Basidiomycètes,Autres,36479,[36479],"Inocybe perlata (Cooke) Sacc., 1887",1,1043681,[36479],"Pseudosperma perlatum (Cooke) Matheny & Esteve-Rav., 2019",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,57394,[57394],"Bacidia trachona (Ach.) Lettau, 1912",1,1041570,[57394],"Aquacidia trachona (Ach.) Aptroot, 2018",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,660090,[660090],"Caloplaca pusilla (A.Massal.) Zahlbr., 1926",1,978026,[660090],"Calogaya pusilla (A.Massal.) Arup, Frödén & Søchting, 2013",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,608261,[608261],"Parnassius mnemosyne cassiensis Siépi, 1909",1,1042430,[608261],"Parnassius turatii cassiensis Siépi, 1909",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,58566,[58566],"Lecanora prominens Clauzade & Vězda, 1966",1,1045947,[58566],"Polyozosia prominens (Clauzade & Vězda) S.Y.Kondr., Lőkös & Farkas, 2020",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Fungi,Ascomycètes,Lichens,59553,[59553],"Caloplaca xantholyta (Nyl.) Jatta, 1902",1,59554,[59553],"Leproplaca xantholyta (Nyl.) Nyl., 1888",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
