code_source	entity_source_pk_value	code_dataset	count_min	count_max	cd_nom	nom_cite	meta_v_taxref	sample_number_proof	digital_proof	non_digital_proof	altitude_min	altitude_max	geom_4326	geom_point	geom_local	date_min	date_max	validation_comment	observers	comment_description	meta_validation_date	meta_create_date	last_action
CEN_PACA_EXPORT	96348378	DFCP	290	290	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E610000018601F9DBA3213400F0BB5A679AF4540	0101000020E610000018601F9DBA3213400F0BB5A679AF4540	01010000206A080000F0A7C6CBB5D029410000005080DB5741	1995-12-16 00:00:00	1995-12-16 00:00:00		THIBAULT Marc		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348154	DFCP	220	220	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000BEC11726536512401973D712F2D14540	0101000020E6100000BEC11726536512401973D712F2D14540	01010000206A080000A01A2FDDEC4C2941C3F5284C62F85741	1996-05-03 00:00:00	1996-05-03 00:00:00		KAYSER Yves		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348579	DFCP	1	1	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	01010000206A08000091ED7C3F8C4F2941D7A3709D58DE5741	1996-04-15 00:00:00	1996-04-15 00:00:00		OLIOSO Georges		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348580	DFCP	4	4	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	01010000206A08000091ED7C3F8C4F2941D7A3709D58DE5741	1995-04-26 00:00:00	1995-04-26 00:00:00		OLIOSO Georges		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348577	DFCP	2	2	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	0101000020E6100000C269C18BBE6212405E4BC8073DB34540	01010000206A08000091ED7C3F8C4F2941D7A3709D58DE5741	1995-04-27 00:00:00	1995-04-27 00:00:00		OLIOSO Georges		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96650883	DFCP	150	150	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000AA656B7D91501240462575029AC84540	0101000020E6100000AA656B7D91501240462575029AC84540	01010000206A080000931804D669412941AE47E12A6EF05741	1996-07-07 00:00:00	1996-07-07 00:00:00		KAYSER Yves		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348574	DFCP	1	1	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E61000008121AB5B3D071340F775E09C110D4640	0101000020E61000008121AB5B3D071340F775E09C110D4640	01010000206A080000D9CEF793AFA72941D7A3709DC22A5841	1989-11-26 00:00:00	1989-11-26 00:00:00		OLIOSO Georges	1H	\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348185	DFCP	2266	2266	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E610000036936FB6B9511D40E6AE25E483D64540	0101000020E610000036936FB6B9511D40E6AE25E483D64540	01010000206A0800009A999959F50130418FC2F5C854045841	1990-02-14 00:00:00	1990-02-14 00:00:00		MISIEK Pascal	passage en 2h	\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96719650	DFCP	30	30	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000BB44F5D6C0961A40A167B3EA73954540	0101000020E6100000BB44F5D6C0961A40A167B3EA73954540	01010000206A08000000000000B26A2E41000000C07FCA5741	1992-11-07 00:00:00	1992-11-07 00:00:00		HUIN Denis		2017-10-24 00:00:00	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348571	DFCP	1	1	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E610000088687407B19312405C2041F163C44540	0101000020E610000088687407B19312405C2041F163C44540	01010000206A080000B4C876BE626B2941713D0AC7F6EC5741	1994-04-17 00:00:00	1994-04-17 00:00:00		OLIOSO Georges	passe	\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96624863	DFCP	7	7	2534	PHIPUG	12	\N	\N	\N	0	0	0101000020E610000052616C21C8C1144004560E2DB2B54540	0101000020E610000052616C21C8C1144004560E2DB2B54540	01010000206A080000000000005AC62A41000000C08CE15741	1993-09-18 00:00:00	1993-09-18 00:00:00		BRUN Luc		2016-10-18 00:00:00	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348746	DFCP	100	100	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000077C7E18219C1540CF66D5E76A9B4540	0101000020E6100000077C7E18219C1540CF66D5E76A9B4540	01010000206A080000F6285C0FB0522B41F6285C4FC5CB5741	1985-01-27 00:00:00	1985-01-27 00:00:00		DHERMAIN Frank		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348223	DFCP	20	20	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1995-02-05 00:00:00	1995-02-05 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
CEN_PACA_EXPORT	96348227	DFCP	253	253	3272	LARMEL	12	\N	\N	\N	0	0	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	0101000020E6100000EBAD81AD12CC1C40A4703D0AD7D34540	01010000206A08000000000000C0B22F410000008082015841	1996-02-13 00:00:00	1996-02-13 00:00:00		BOET Maurice		\N	2020-02-12 14:04:42.735559	I
