unique_id_sinp	unique_id_sinp_grp	code_source	code_module	entity_source_pk_value	code_dataset	count_min	count_max	cd_nom	nom_cite	meta_v_taxref	sample_number_proof	digital_proof	non_digital_proof	altitude_min	altitude_max	geom_4326	geom_point	geom_local	date_min	date_max	validator	validation_comment	observers	determiner	id_digitiser	comment_context	comment_description	meta_validation_date	meta_create_date	meta_update_date	last_action
\N	\N	1	\N	96597139	3	105	105	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000AA9A20EA3E801240CA54C1A8A4B64540	0101000020E6100000AA9A20EA3E801240CA54C1A8A4B64540	01010000206A0800000AD7A3B04F612941C3F5288C47E15741	1996-05-11 00:00:00	1996-05-11 00:00:00	 		KAYSER Yves	 	\N	\N	parades	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597094	3	300	300	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000AA9A20EA3E801240CA54C1A8A4B64540	0101000020E6100000AA9A20EA3E801240CA54C1A8A4B64540	01010000206A0800000AD7A3B04F612941C3F5288C47E15741	1995-08-17 00:00:00	1995-08-17 00:00:00	 		KAYSER Yves	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597011	3	35	35	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E610000069520ABABDA41240BF7D1D3867AC4540	0101000020E610000069520ABABDA41240BF7D1D3867AC4540	01010000206A080000022B8716537929419A9999E9A7D85741	1994-12-06 00:00:00	1994-12-06 00:00:00	 		JOHNSON Alan-Roy	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596975	3	25	25	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000151DC9E53F8418408195438B6C8F4540	0101000020E6100000151DC9E53F8418408195438B6C8F4540	01010000206A080000DF4F8D5740232D418FC2F5A89FC35741	1988-04-26 00:00:00	1988-04-26 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597244	3	13	13	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000D5B2B5BE48C8124088635DDC46CB4540	0101000020E6100000D5B2B5BE48C8124088635DDC46CB4540	01010000206A08000023DBF93ED28A294185EB51B8E3F25741	1995-12-02 00:00:00	1995-12-02 00:00:00	 		TOURENQ Christophe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596969	3	40	40	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000009F1F46088F361440B30C71AC8BC34540	0101000020E61000009F1F46088F361440B30C71AC8BC34540	01010000206A080000BC749398DF6D2A41D7A3707D01ED5741	1993-04-20 00:00:00	1993-04-20 00:00:00	 		BLASCO André	 	\N	\N	ca 40	\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597056	3	2	2	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000107A36AB3E971840B4C876BE9F8A4540	0101000020E6100000107A36AB3E971840B4C876BE9F8A4540	01010000206A0800000000000058302D41000000009DBF5741	1993-05-06 00:00:00	1993-05-06 00:00:00	 		ORSINI Philippe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597189	3	2	2	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000009548A297510C1D40A60A462575DA4540	0101000020E61000009548A297510C1D40A60A462575DA4540	01010000206A080000AE47E1FAD2D72F4114AE47F160075841	1985-04-21 00:00:00	1985-04-21 00:00:00	 		MISIEK Pascal	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96597035	3	7	7	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E61000007B884677109B18401A51DA1B7C894540	0101000020E61000007B884677109B18401A51DA1B7C894540	01010000206A080000CDCCCC4C06332D4114AE4701A9BE5741	1994-03-31 00:00:00	1994-03-31 00:00:00	 		ORSINI Philippe	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
\N	\N	1	\N	96596977	3	7	7	3285	LARGEN	\N	\N	\N	\N	0	0	0101000020E6100000DE02098A1F23134031992A1895AC4540	0101000020E6100000DE02098A1F23134031992A1895AC4540	01010000206A0800007B14AE8780C72941B81E85BB05D95741	1996-03-21 00:00:00	1996-03-21 00:00:00	 		BLASCO André	 	\N	\N		\N	2020-02-12 14:04:42.735559	\N	I
