regne,group1_inpn,group2_inpn,i_cd_ref,i_cd_nom_list,i_nom_valid,i_nb_cd_nom,f_cd_ref,f_cd_nom_list,f_nom_valid,f_nb_cd_nom,att_list,att_nb,media_nb,grappe_change,action,cas
Plantae,Trachéophytes,Angiospermes,134358,[134358],"Euphorbia characias subsp. veneta (Willd.) Litard., 1936",1,134359,[134358],"Euphorbia characias subsp. wulfenii (Hoppe ex W.D.J.Koch) Radcl.-Sm., 1968",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,134372,[134372],"Euphorbia esula subsp. saratoi (Ardoino) P.Fourn., 1936",1,97656,[134372],"Euphorbia saratoi Ardoino, 1867",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,134387,[134387],"Euphorbia flavicoma subsp. verrucosa (Fiori) Pignatti, 1973",1,97699,[134387],"Euphorbia verrucosa L., 1753",1,,,11,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,134412,[134412],"Euphorbia seguieriana subsp. loiseleurii (Rouy) P.Fourn., 1936",1,1009567,[134412],"Euphorbia seguieriana var. minor (Duby) Wilczek, 1917",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,135010,[135010],"Gentiana bavarica var. bavarica L., 1753",1,1010803,[135010],"Gentiana bavarica subsp. bavarica L., 1753",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,135044,[135044],"Gentiana verna subsp. delphinensis (Beauverd) H.Kunze, 1971",1,147408,[135044],"Gentiana verna var. villarsiana Rouy, 1908",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,135048,[135048],"Gentiana verna subsp. verna L., 1753",1,1010697,[135048],"Gentiana verna var. verna L., 1753",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,137380,[137380],"Linum strictum subsp. corymbulosum (Rchb.) Rouy, 1897",1,106291,[137380],"Linum corymbulosum Rchb., 1832",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,137383,[137383],"Linum suffruticosum subsp. appressum (Caball.) Rivas Mart., 1978",1,106278,[137383],"Linum appressum Caball., 1944",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,137836,[137836],"Minuartia recurva subsp. recurva (All.) Schinz & Thell., 1907",1,1018065,[137836],"Minuartia recurva var. recurva (All.) Schinz & Thell., 1907",1,,,5,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,147805,[147805],"Hypericum perforatum var. angustifolium DC., 1815",1,136761,[147805],"Hypericum perforatum subsp. veronense (Schrank) H.Lindb., 1906",1,,,2,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Plantae,Trachéophytes,Angiospermes,191295,[191295],"Crypsis Aiton, 1789",1,1015894,[191295],"Sporobolus sect. Crypsis (Aiton) P.M.Peterson, 2014",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,218883,[218883],"Torymus calcaratus Nees, 1834",1,1013320,[218883],"Diomorus calcaratus (Nees, 1834)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,219309,[219309],"Alloxysta fuscicornis (Hartig, 1841)",1,263934,[219309],"Alloxysta consobrina (Zetterstedt, 1838)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,219313,[219313],"Alloxysta macrophadna (Hartig, 1841)",1,1013528,[219313],"Alloxysta macrophadnus (Hartig, 1841)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,220480,[220480],"Phaeostigma notata (Fabricius, 1781)",1,1009181,[220480],"Phaeostigma notatum (Fabricius, 1781)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,220485,[220485],"Xanthostigma aloysiana (Costa, 1855)",1,1009191,[220485],"Xanthostigma aloysianum (A. Costa, 1855)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,220486,[220486],"Xanthostigma corsica (Hagen, 1867)",1,1009189,[220486],"Xanthostigma corsicum (Hagen, 1867)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,223307,[223307],"Globicornis alpina Pic, 1912",1,1014667,[223307],"Megatoma alpina (Pic, 1912)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,224026,[224026],"Meloe mediterraneus J. [G.] Müller, 1925",1,1012339,[224026],"Eurymeloe mediterraneus (J. [G.] Müller, 1925)",1,,,1,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,224028,[224028],"Meloe rugosus Marsham, 1802",1,1012327,[224028],"Eurymeloe rugosus (Marsham, 1802)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
Animalia,Arthropodes,Insectes,224030,[224030],"Esarcus baudii Seidlitz, 1889",1,1014603,[224030],"Entoxylon baudii (Seidlitz, 1889)",1,,,,cas1,Update cd_ref no changes for attributes and medium,update cd_ref
