cd_nom,nom_complet,plus_recente_diffusion,cd_nom_remplacement,cd_raison_suppression
102214,"Hieracium misaucinum Nägeli & Peter, 1886",9.0,,2
243151,"Staphylinus compressus Geoffroy, 1785",9.0,,2
610817,"Cerastium illyricum Ard., 1764",9.0,,2
717262,"Hieracium stauii Belli, 1904",9.0,,2
810958,"Hieracium pesianum Arv.-Touv. & Belli, 1913",9.0,,2
